2011-01-21 18:32:11 Notice: Notice (1024): Please change the value of 'Security.salt' in app/config/core.php to a salt value specific to your application in [/home/bakishin/work/testcakephp/01.program/cake/libs/debugger.php, line 684]
2011-02-04 16:26:19 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 16:27:38 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 16:27:38 Notice: Notice (8): Undefined index: DataInstituteCodeGroups in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 15]
2011-02-04 16:28:05 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 16:28:05 Notice: Notice (8): Undefined index: DataInstituteGroup in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 15]
2011-02-04 16:28:33 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 16:30:04 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 16:30:23 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 16:31:58 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 16:39:13 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 16:39:41 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 16:40:23 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 16:40:57 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 16:41:17 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 16:41:23 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 16:42:24 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 16:44:35 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 16:46:17 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 16:46:49 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 16:47:33 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 16:47:48 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 16:48:27 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 17:00:41 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 17:01:27 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 17:02:08 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 17:05:00 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 17:05:23 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 17:05:39 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 17:08:20 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 17:11:10 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 17:13:49 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 17:18:29 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 17:19:15 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 17:20:07 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 17:20:35 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 17:21:51 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 17:22:08 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 17:24:34 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 17:33:20 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 17:33:45 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 17:34:38 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 17:35:21 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 17:36:06 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 17:36:40 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 17:39:23 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 17:46:51 Notice: Notice (8): Undefined property: DataInstituteCodesController::$DataInstituteCodes in [/home/bakishin/work/testcakephp/01.program/app/controllers/data_institute_codes_controller.php, line 18]
2011-02-04 17:47:23 Notice: Notice (8): Undefined property: DataInstituteCodesController::$DataInstituteCodes in [/home/bakishin/work/testcakephp/01.program/app/controllers/data_institute_codes_controller.php, line 18]
2011-02-04 17:48:05 Notice: Notice (8): Undefined property: DataInstituteCodesController::$DataInstituteCode in [/home/bakishin/work/testcakephp/01.program/app/controllers/data_institute_codes_controller.php, line 18]
2011-02-04 17:48:46 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 17:48:47 Notice: Notice (8): Undefined variable: min in [/home/bakishin/work/testcakephp/01.program/cake/libs/validation.php, line 618]
2011-02-04 17:48:47 Notice: Notice (8): Undefined variable: max in [/home/bakishin/work/testcakephp/01.program/cake/libs/validation.php, line 631]
2011-02-04 20:22:04 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 20:23:57 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 20:27:11 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 20:27:22 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 20:29:10 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 20:29:10 Notice: Notice (8): Undefined variable: data in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 32]
2011-02-04 20:29:46 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 20:34:05 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 20:34:15 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 20:34:15 Notice: Notice (8): Undefined variable: data in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 32]
2011-02-04 20:40:53 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 21:00:12 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 21:00:23 Notice: Notice (8): Undefined variable: title_for_layout in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 3]
2011-02-04 21:13:26 Notice: Notice (8): Undefined variable: groups in [/home/bakishin/work/testcakephp/01.program/app/views/data_institute_codes/add.ctp, line 18]
